Rang;Type de document;Nombre de recherches;Titre;Auteur
385;Bande dessinée adulte;48;Aya de Yopougon. 5;Abouet, Marguerite
386;Livre adulte;48;La fille de papier : roman;Musso, Guillaume
387;Livre jeunesse;48;Entre ciel et terre;Fombelle, Timothée de
388;Bande dessinée jeunesse;48;Aube et crépuscule [Texte imprimé];Sobral, Patrick
389;Nouveauté;48;La rivière noire;Arnaldur Indridason
390;DVD tous publics;48;la Princesse de Montpensier [Images animées];
391;Livre jeunesse;48;Fausse note à Venise;Korman, Gordon
392;Livre adulte;48;La chimère d'or des Borgia;Benzoni, Juliette
393;Nouveauté;48;Room;Donoghue, Emma
394;;48;François Hollande : itinéraire secret;Raffy, Serge
395;Livre adulte;48;Nrj hits 2012 [enregistrement sonore];
396;Livre sonore adulte;48;1Q84 Livre 1 [Enregistrement sonore];Haruki, Murakami
397;Livre adulte;48;Les années perdues;Clark, Mary Higgins
398;Livre adulte;48;Une place à prendre;Rowling, Joanne Kathleen
399;Livre jeunesse;47;Dinosaures, dinosaures [Texte imprimé];Barton, Byron
400;Livre adulte;47;Oeuvres romanesques complètes. 1 [Texte imprimé];Austen, Jane
401;Livre jeunesse;47;La princesse rebelle [Texte imprimé];Robillard, Anne
402;Livre adulte;47;Cessez d'être gentil soyez vrai [Texte imprimé] : être avec les autres en restant soi-même;D'Ansembourg, Thomas
403;Bande dessinée jeunesse;47;Coeur du passé [Texte imprimé];Sobral, Patrick
404;Livre adulte;47;Un monde sans fin [Texte imprimé] : roman;Follett, Ken
405;Bande dessinée adulte;47;Et c'est là que mes ennuis ont commencé [Texte imprimé];Spiegelman, Art
406;Revue adulte;47;Géo [texte imprimé];
407;Revue adulte;47;Les Inrockuptibles [texte imprimé];
408;Livre adulte;47;Code Rousseau de la route 2010 [texte imprimé];
409;Nouveauté;47;Le cimetière de Prague : roman;Eco, Umberto
410;Livre adulte;47;Marine Le Pen;Fourest, Caroline
411;Livre adulte;47;Jayne Mansfield 1967;Liberati, Simon
412;;47;Le cas Sneijder;Dubois, Jean-Paul
413;Livre adulte;47;Venise [Texte imprimé] : 2012;Gloaguen, Philippe
414;;47;Le sillage de l'oubli : roman;Machart, Bruce
415;Nouveauté;47;L'élimination [Texte imprimé];Panh, Rithy
416;Nouveauté;47;La femme au masque de chair;Leon, Donna
417;Nouveauté;47;Hôtel Adlon;Kerr, Philip
418;;47;Indiana Teller. 2. Lune d'été;Audouin-Mamikonian, Sophie
419;Bande dessinée adulte;47;Doggy Bags;
420;Nouveauté musique;47;Birdy [Enregistrement sonore];
421;Livre adulte;47;L'âme du monde : conte de sagesse;Lenoir, Frédéric
422;DVD tous publics;47;Hunger Games [Images animées];
423;CD adulte;46;Back to black [Enregistrement sonore];Winehouse, Amy
424;Livre adulte;46;Oeuvres complètes. 1 [Texte imprimé];Corneille, Pierre
425;Livre adulte;46;Le mec de la tombe d'à côté [Texte imprimé] : roman;Mazetti, Katarina
426;Bande dessinée ado;46;Je veux que tu m'aimes ! [Texte imprimé];Lyfoung, Patricia
427;Bande dessinée ado;46;Pour qui tu te prends ? [Texte imprimé];Delaf
428;Bande dessinée jeunesse;46;Journal infime [Texte imprimé];Neel, Julien
429;Livre adulte;46;D'autres vies que la mienne;Carrère, Emmanuel
430;Livre adulte;46;Sri Lanka [Texte imprimé];
431;Bande dessinée jeunesse;46;Le cycle d'Anathos : renaissance;Sobral, Patrick
432;Livre adulte;46;Le trône de fer : l'intégrale. 2;Martin, George R.R.
433;Bande dessinée jeunesse;46;Le bal d'hiver;Algésiras
434;Nouveauté;46;Où j'ai laissé mon âme;Ferrari, Jérôme
435;Livre adulte;46;Londres : 2011 : + shopping;Gloaguen, Philippe
436;Nouveauté;46;Italie du Sud : 2011 [Texte imprimé] : sans Rome ni la Sicile;Gloaguen, Philippe
437;Bande dessinée jeunesse;46;Chi, une vie de chat. 3;Konami, K.
438;Livre adulte;46;Etats-Unis Nord-Est : 2011-2012;
439;Livre jeunesse;46;Delirium;Oliver, Lauren
440;Livre adulte;46;Eux sur la photo;Gestern, Hélène
441;DVD tous publics;46;the Tree of Life [Images animées];
442;;46;Flétrissure;Neuhaus, Nele
443;Livre adulte;46;Vietnam [Texte imprimé] : 2012;Gloaguen, Philippe
444;Nouveauté;46;Quatre-vingt treize;Kepel, Gilles
445;;46;Papillon. 1;Ueda, Miwa
446;Livre Fonds spécialisés;46;Le diable, tout le temps : roman;Pollock, Donald Ray
447;Livre adulte;45;Anna Karénine [Texte imprimé];Tolstoj, Lev Nikolaevic
448;Livre adulte;45;Elizabeth 2 [Texte imprimé] : la dernière reine;Roche, Marc
449;Livre adulte;45;La bataille des rois [Texte imprimé] : roman;Martin, George R. R.
450;DVD tous publics;45;E.T. l'extra-terrestre [Images animées];Spielberg, Steven
451;Livre adulte;45;Oeuvres complètes [Texte imprimé];Machiavel
452;Livre adulte;45;Guérir [Texte imprimé] : le stress, l'anxiété et la dépression sans médicaments ni psychanalyse;Servan-Schreiber, David
453;Livre adulte;45;La distinction [Texte imprimé] : critique sociale du jugement;Bourdieu, Pierre
454;Livre adulte;45;Oeuvres complètes. 1. Théâtre, poésie [Texte imprimé];Racine, Jean
455;Livre adulte;45;Le prédicateur;Läckberg, Camilla
456;Bande dessinée ado;45;Duel de belles;Delaf
457;DVD tous publics;45;Harry Potter et l'Ordre du Phénix [images animées];
458;Livre adulte;45;Petit traité de vie intérieure;Lenoir, Frédéric
459;;45;Coucher de soleil;Hunter, Erin
460;Livre jeunesse;45;Le feuilleton de Thésée : la mythologie grecque en cent épisodes;Szac, Murielle
461;Livre adulte;45;658;Verdon, John
462;Livre adulte;45;Sardaigne : 2011-2012;Gloaguen, Philippe
463;Livre adulte;45;Léna;Deloffre, Virginie
464;Nouveauté;45;L'équation africaine;Khadra, Yasmina
465;Nouveauté;45;Sunset park;Auster, Paul
466;Livre adulte;45;Journal d'un raté : roman;Limonov, Èduard Veniaminovi?
467;Bande dessinée adulte;45;Magasin général. 7;Loisel, Régis
468;Nouveauté;45;Les lumières de septembre;Ruiz Zafón, Carlos
469;Nouveauté;45;Pour seul cortège : roman;Gaudé, Laurent
470;Livre ado;44;Les chevaliers d'Emeraude. 2 Les dragons de l'empereur noir [Texte imprimé];Robillard, Anne
471;Livre jeunesse;44;Retour à l'état sauvage [Texte imprimé];Hunter, Erin
472;Bande dessinée adulte;44;Cette vie derrière nous [Texte imprimé];Kirkman, Robert
473;Livre adulte;44;La vie devant soi [Texte imprimé];Gary, Romain
474;Bande dessinée adulte;44;Le donjon de Naheulbeuk. Tome 3, Deuxième saison, partie 1 [Texte imprimé];Lang, John
475;VHS >  12 ans;44;Hunger [Images animées];
476;DVD tous publics;44;Twilight. Chapitre 1. Fascination [Images animées];
477;Usuels;44;Code du travail 2010;
478;Bande dessinée jeunesse;44;Sang royal;Sobral, Patrick
479;Nouveauté;44;Un jour;Nicholls, David
480;Livre adulte;44;Normandie 2011-2012;Gloaguen, Philippe
481;Bande dessinée adulte;44;The flowers of hard blood;Katori, Masaru
482;;44;Sprite. 1;Ishikawa, Yugo
483;Livre adulte;44;Le diable dans la ville blanche [Texte imprimé];Larson, Erik
484;Livre adulte;44;Les revenants;Kasischke, Laura
485;DVD tous publics;44;Le gamin au vélo [Images animées];
486;Livre adulte;44;La décrue;Hobb, Robin
487;Livre adulte;44;Italie du Sud : 2012 : sans Rome ni la Sicile;Gloaguen, Philippe
488;Livre ado;44;La lumière blanche;Ressouni-Demigneux, Karim
489;Nouveauté;44;Les séparées;Davrichewy, Kéthévane
490;Livre adulte;44;Serum, saison 1 : saison 1. Épisode 1 [Texte imprimé];Loevenbruck, Henri
491;;44;Original Israel yiddish casts. 1. Fiddler on the roof. The megilla of Itzir Manger [Enregistrement sonore];
492;CD adulte;44;Born to die [enregistrement sonore];Rey (Del), Lana
493;;44;La vérité toute moche : grandir ou ne pas grandir, telle est la question !;Kinney, Jeff
494;Nouveauté;44;21, rue La Boétie;Sinclair, Anne
495;Nouveauté;44;Reflets dans un oeil d'homme;Huston, Nancy
496;Livre jeunesse;44;"La tragédie du ""Titanic"" [Texte imprimé]";Adams, Simon
497;Nouveauté;44;Les désorientés : roman;Maalouf, Amin
498;Livre ado;43;Le journal [Texte imprimé];Frank, Anne
499;Livre adulte;43;Zulu [Texte imprimé];Férey, Caryl
500;Livre adulte;43;Voyage aux pays du coton [Texte imprimé] : petit précis de mondialisation;Orsenna, Erik
501;Livre adulte;43;Les Misérables [Texte imprimé];Hugo, Victor
502;Livre adulte;43;Les Confessions [Texte imprimé];Rousseau, Jean-Jacques
503;Livre adulte;43;Le maître et Marguerite [Texte imprimé] : et autres romans;Bulgakov, Mihaïl Afanas'evic
504;Livre adulte;43;Romans et contes [Texte imprimé];Voltaire
505;Livre jeunesse;43;Minuit [Texte imprimé];Hunter, Erin
506;Livre adulte;43;Cent ans de solitude [Texte imprimé];Garcia Marquez, Gabriel
507;Livre adulte;43;Le coeur cousu;Martinez, Carole
508;Livre jeunesse;43;La révélation des Médicus;Anderson, Eli
509;Livre jeunesse;43;Tristan et Iseult;
510;DVD tous publics;43;La jetée [images animées] : un photo-roman;
511;DVD tous publics;43;L'arnacoeur [Images animées];
512;Nouveauté;43;Faut-il manger les animaux ?;Foer, Jonathan Safran
513;Bande dessinée ado;43;L'histoire de France en BD. 2. Du Moyen Age à la Révolution;Joly, Dominique
514;Nouveauté;43;Les autres gens. 1;Cadène, Thomas
515;Bande dessinée adulte;43;Désirs exaucés;Hubert
516;Bande dessinée jeunesse;43;Akissi. 2. Super-héros en plâtre;Abouet, Marguerite
517;Livre ado;43;Fedeylins. Les rives du monde;Coste, Nadia
518;Nouveauté;43;Le système Victoria : roman;Reinhardt, Éric
519;Livre jeunesse;43;Un prince sans royaume;Fombelle, Timothée de
520;Livre adulte;43;Amsterdam et ses environs : 2012 : + Rotterdam, Delft et La Haye;Gloaguen, Philippe
521;;43;Les Landes. 2. Dans les pas d'Ariane;Bourdin, Françoise
522;Livre adulte;43;Grâce : roman;Bertholon, Delphine
523;Livre adulte;42;Romans. 1 [Texte imprimé];Austen, Jane
524;Livre adulte;42;Oeuvres complètes [Texte imprimé];Sarraute, Nathalie
525;DVD tous publics;42;West side story [Images animées];Wise, Robert
526;Livre adulte;42;La chambre claire [Texte imprimé] : note sur la photographie;Barthes, Roland
527;Livre jeunesse;42;Le feuilleton d'Hermès [Texte imprimé] : la mythologie grecque en cent épisodes;Szac, Murielle
528;Livre adulte;42;Canaries;Montagnon, Denis
529;Livre adulte;42;Bretagne sud : 2010;Gloaguen, Philippe
530;Livre ado;42;Gone. 2. La faim;Grant, Michael
531;Livre adulte;42;Croatie : 2010-2011;Gloaguen, Philippe
532;Livre adulte;42;Le crépuscule d'une idole : l'affabulation freudienne;Onfray, Michel
533;;42;Le signal : roman;Carlson, Ron
534;Nouveauté;42;L'oeil de la lune;
535;Bande dessinée adulte;42;Un sac de billes. Première partie;
536;Livre adulte;42;Le pays des grottes sacrées : roman;Auel, Jean M.
537;;42;Jeanne;Romilly, Jacqueline de
538;;42;Beelzebub. 1;Tamura, Ryuhei
539;Livre adulte;42;Turquie : 2011-2012;Gloaguen, Philippe
540;Livre jeunesse;42;Le royaume des loups. 1. Faolan le solitaire;Lasky, Kathryn
541;Bande dessinée jeunesse;42;La quatrième dimension et demie;Vehlmann, Fabien
542;;42;Evernight. 2;Gray, Claudia
543;Nouveauté;42;Les fantômes de Belfast [Texte imprimé];Neville, Stuart
544;DVD tous publics;42;De l'eau pour les éléphants [Images animées];
545;Nouveauté;42;Les solidarités mystérieuses;Quignard, Pascal
546;Livre jeunesse;42;Mystère au Kremlin;Carman, Patrick
547;Nouveauté;42;Le règne des Lions;Calmel, Mireille
548;;42;L'armoire des robes oubliées : roman;Pulkkinen, Riikka
549;DVD tous publics;42;J. Edgar [Images animées];
550;Livre adulte;41;Vipère au poing [Texte imprimé];Bazin, Hervé
551;Livre Fonds spécialisés;41;Si c'est un homme [Texte imprimé];Levi, Primo
552;Livre adulte;41;Cannibale [Texte imprimé] : récit;Daeninckx, Didier
553;Livre adulte;41;La glace et le feu [Texte imprimé];Martin, George R. R.
554;Livre adulte;41;Les bienveillantes : roman [Texte imprimé];Littell, Jonathan
555;Livre adulte;41;Romans et récits [Texte imprimé];Perec, Georges
556;Revue adulte;41;Courrier international [texte imprimé];
557;Livre adulte;41;Le lièvre de Patagonie : mémoires;Lanzmann, Claude
558;Livre adulte;41;Le Guinea lord;Delaby, Philippe
559;Livre adulte;41;Le mec de la tombe d'à côté : roman [Texte imprimé];Mazetti, Katarina
560;Livre adulte;41;L'intranquille : autoportrait d'un fils, d'un peintre, d'un fou [Texte imprimé];Garouste, Gérard
561;Livre adulte;41;Les visages [Texte imprimé];Kellerman, Jesse
562;DVD < 13 ans;41;Harry Potter et le Prince de sang-mêlé [Images animées];Yates, David
563;Livre adulte;41;La ferme des Neshov : roman;Ragde, Anne Birkefeldt
564;Nouveauté;41;L'oiseau de mauvais augure;Läckberg, Camilla
565;Livre jeunesse;41;Trop c'est trop;Kinney, Jeff
566;Livre jeunesse;41;Les deux royaumes;Anderson, Eli
567;Livre jeunesse;41;Le loto des nombrils;Guibert, Emmanuel
568;Livre adulte;41;Les Tudors;Crété, Liliane
569;Livre adulte;41;Israël, Jérusalem, Cisjordanie : avec excursions vers Pétra et le Sinaï;
570;Livre jeunesse;41;Le cauchemar de l'épouvanteur;Delaney, Joseph
571;;41;M. le Président : scènes de la vie politique, 2005-2011;Giesbert, Franz-Olivier
572;Nouveauté;41;Un été sans les hommes;Hustvedt, Siri
573;DVD tous publics;41;Winter's Bone [Images animées];
574;DVD < 13 ans;41;Arrietty [Images animées] : Le petit monde des chapardeurs;
575;Livre ado;41;Nés à minuit. 1. Attirances;Hunter, C. C.
576;Livre adulte;41;Entropia;Chattam, Maxime
577;Nouveauté;41;Jusqu'à la folie : roman;Kellerman, Jesse
578;Livre adulte;41;L'atelier de papier japonais : cartonnage, origami, encadrement, papeterie, pliage et autres techniques;Klam, Adeline
579;DVD tous publics;41;"Breaking bad [Images animées] : saison 3 ; Bryan Cranston, Aaron Paul act.";
580;;41;Histoire des grands-parents que je n'ai pas eus;Jablonka, Ivan
581;Livre Fonds spécialisés;40;Oeuvres [Texte imprimé];Desnos, Robert
582;Bande dessinée adulte;40;Passé décomposé. 1 [Texte imprimé];Kirkman, Robert
583;Bande dessinée ado;40;Aux prises avec baggy et ses hommes ! [Texte imprimé];Oda, Eiichiro
584;Livre jeunesse;40;L'école de Léon [Texte imprimé];Bloch, Serge
585;Livre adulte;40;To the lighthouse [Texte imprimé];Woolf, Virginia
586;Livre jeunesse;40;Le continent interdit [Texte imprimé];Audouin-Mamikonian, Sophie
587;Livre adulte;40;Oeuvres romanesques et théâtrales complètes. 2 [Texte imprimé];Mauriac, François
588;Livre adulte;40;La ferme des animaux [Texte imprimé];Orwell, George
589;Bande dessinée jeunesse;40;L'Alystory [Texte imprimé];Sobral, Patrick
590;Livre adulte;40;Nos séparations [Texte imprimé] : roman;Foenkinos, David
591;Nouveauté;40;Mon enfant de Berlin : roman;Wiazemsky, Anne
592;Livre jeunesse;40;Journal d'un dégonflé. 1. Carnet de bord de Greg Heffley;Kinney, Jeff
593;CD jeunesse;40;L'»intégrale musiques de films [Enregistrement sonore];Elfman, Danny
594;Livre en langue étrangère;40;The hunger games [Texte imprimé];Collins, Suzanne
595;Livre adulte;40;HHhH : roman;Binet, Laurent
596;Livre adulte;40;Portugal : 2010;Gloaguen, Philippe
597;CD adulte;40;France [Enregistrement sonore] : une anthologie des musiques traditionnelles;Veillet, Guillaume
598;Livre adulte;40;Paris pas cher 2011;Riou, Anne
599;Bande dessinée adulte;40;Ernest Latulippe;Loisel, Régis
600;Livre adulte;40;Andalousie : 2011 : + Murcie [Texte imprimé];Gloaguen, Philippe
601;Nouveauté;40;Le fils : récit;Rostain, Michel
602;Livre adulte;40;Le coeur des deux mondes;Plichota, Anne
603;Numérique et multimédia adulte;40;D'acier;Avallone, Silvia
604;Livre adulte;40;Bali, Lombok : + Borobudur, Prambanan et les volcans de Java : 2011-2012;Gloaguen, Philippe
605;Livre adulte;40;Le scandale Modigliani;Follett, Ken
606;Livre adulte;40;Rome;Gloaguen, Philippe
607;DVD tous publics;40;Agnès de ci, de là Varda [Images animées];
608;Livre adulte;40;Les derniers jours de nos pères;Dicker, Joël
609;Livre adulte;40;Le sexe ni la mort : trois essais sur l'amour et la sexualité;Comte-Sponville, André
610;Livre jeunesse;40;Le destin de l'épouvanteur;Delaney, Joseph
611;Nouveauté;40;L'oeil du léopard;Mankell, Henning
612;;40;Théorème vivant;Villani, Cédric
613;Livre adulte;39;Voyage au bout de la nuit [Texte imprimé];Céline, Louis-Ferdinand
614;Livre adulte;39;Les noces pourpres [Texte imprimé] : roman;Martin, George R. R.
615;Livre adulte;39;Théâtre complet [Texte imprimé];Ionesco, Eugène
616;Livre adulte;39;Etudes de moeurs [Texte imprimé] : scènes de la vie privée, scènes de la vie de province;Balzac, Honoré de
617;Livre adulte;39;Théâtre complet [Texte imprimé];Marivaux, Pierre de
618;Livre adulte;39;Oeuvres complètes. 1 [Texte imprimé];Baudelaire, Charles
619;Livre adulte;39;Gomorra [Texte imprimé] : dans l'empire de la camorra;Saviano, Roberto
620;DVD tous publics;39;Harry Potter à l'école des sorciers [Images animées];Columbus, Chris
621;Bande dessinée adulte;39;From hell [Texte imprimé] : une autopsie de Jack l'Eventreur;Moore, Alan
622;Livre adulte;39;Ne tirez pas sur l'oiseau moqueur [Texte imprimé];Lee, Harper
623;Livre adulte;39;W ou Le souvenir d'enfance [Texte imprimé];Perec, Georges
624;Livre jeunesse;39;Le trône de fer [Texte imprimé];Martin, Georges R. R.
625;Livre adulte;39;Oeuvres [Texte imprimé];Wilde, Oscar
626;Livre jeunesse;39;Petit Gruffalo [Texte imprimé];Donaldson, Julia
627;Revue adulte;39;Philosophie magazine [texte imprimé];
628;Bande dessinée ado;39;Switch girl !!. 1;Aida, Natsumi
629;Livre jeunesse;39;Gone;Grant, Michael
630;Livre adulte;39;Le jeu de l'ange : roman;Ruiz Zafòn, Carlos
631;Livre adulte;39;Légendes du je [texte imprimé];Gary, Romain
632;Livre adulte;39;Philippines [Texte imprimé];
633;Livre adulte;39;Dieu voyage toujours incognito;Gounelle, Laurent
634;Livre adulte;39;Le chuchoteur;Carrisi, Donato
635;Livre adulte;39;New York + Brooklyn : 2011;Gloaguen, Philippe
636;Livre adulte;39;Le cimetière du diable;
637;Livre adulte;39;L'envie : roman;Fontanel, Sophie
638;Nouveauté;39;Premier bilan après l'apocalypse : essai;Beigbeder, Frédéric
639;DVD tous publics;39;Minuit à Paris [Images animées];
640;DVD tous publics;39;le nom des gens [Images animées];
641;CD adulte;39;Dirty radio [Enregistrement sonore];
642;Revue adulte;39;Feuilleton : passe en revue le monde;
643;DVD tous publics;39;L'Apollonide, souvenirs de la maison close [Images animées];
644;Livre sonore adulte;39;C'est l'histoire d'un mec [enregistrement sonore] : La collection-intégrale 6 CD;Coluche
645;Livre jeunesse;39;Le fils de Neptune;Riordan, Rick
646;Livre adulte;39;Vers les lueurs [enregistrement sonore];Dominique A
647;Nouveauté;39;Les dix enfants que madame Ming n'a jamais eus [Texte imprimé];Schmitt, Éric-Emmanuel
648;;39;La réparation;Schneck, Colombe
649;Livre en langue étrangère;39;Home [Texte imprimé] : [a novel];Morrison, Toni
650;Livre adulte;38;L'attrape-coeurs [Texte imprimé];Salinger, Jerome David
651;DVD tous publics;38;Harry Potter à l'école des sorciers [Images animées];Columbus, Chris
652;Livre adulte;38;American psycho [Texte imprimé];Ellis, Bret Easton
653;Livre adulte;38;Romans, cinéma, théâtre [Texte imprimé] : un parcours, 1943-1993;Duras, Marguerite
654;CD adulte;38;Three Fantastic Dances [Enregistrement sonore];Chostakovitch, Dimitri
655;Livre ado;38;Hésitation [Texte imprimé];Meyer, Stephenie
656;DVD tous publics;38;Harry Potter et la coupe de feu [Images animées];Newell, Mike
657;Livre adulte;38;Belle du seigneur [Texte imprimé];Cohen, Albert
658;Livre adulte;38;Où on va, papa ? [Texte imprimé];Fournier, Jean-Louis
659;Livre ado;38;Bilbo le hobbit [Texte imprimé];Tolkien, John Ronald Reuel
660;Livre adulte;38;L'homme qui voulait être heureux [Texte imprimé];Gounelle, Laurent
661;Livre adulte;38;Comment parler des livres que l'on n'a pas lus ? [Texte imprimé];Bayard, Pierre
662;Revue adulte;38;Marianne [texte imprimé];
663;Usuels;38;Code de commerce : édition 2010;
664;Livre jeunesse;38;L'inespérée;Plichota, Anne
665;Nouveauté;38;La maison où je suis mort autrefois;Higashino, Keigo
666;DVD tous publics;38;La grande vadrouille [images animées];
667;DVD tous publics;38;Sherlock Holmes [Images animées];
668;Livre adulte;38;Le trône de fer : l'intégrale. 3;Martin, George R. R.
669;Nouveauté;38;L'homme inquiet;Mankell, Henning
670;Nouveauté;38;La guerre des clans : roman;Jacq, Christian
671;Bande dessinée adulte;38;Agonie [Texte imprimé];Nury, Fabien
672;Livre adulte;38;Dôme. 2;King, Stephen
673;DVD tous publics;38;Hésitation [Images animées];
674;DVD tous publics;38;Breaking bad. Intégrale saison 1 [Images animées];
675;Nouveauté;38;Savages [Texte imprimé];Winslow, Don
676;DVD tous publics;38;Eragon [images animées];
677;Livre adulte;38;Le dépaysement : voyages en France;Bailly, Jean-Christophe
678;Livre adulte;38;Inspiration Japon : 30 créations : origami, sashiko, furoshiki, couture...;O, Maria
679;DVD tous publics;38;Harry Potter et les reliques de la mort, 7 partie 1 [Images animées];
680;Nouveauté;38;Désolations;Vann, David
681;Bande dessinée adulte;38;Ressources humaines;Pins, Arthur de
682;;38;Le rêve du celte;Vargas Llosa, Mario
683;DVD tous publics;38;Pirates des Caraïbes 4 [Images animées] : La fontaine de Jouvence : on stranger tides;
684;Livre adulte;38;La Peste [Texte imprimé];Camus, Albert
685;Livre ado;38;Big Nate. Le champion de l'école;Peirce, Lincoln
686;Livre jeunesse;38;Opération Marie-Antoinette;Keller, Joslan F.
687;CD adulte;38;Lioness : Hidden treasures [Enregistrement sonore];Winehouse, Amy
688;;38;En vieillissant les hommes pleurent;Seigle, Jean-Luc
689;Nouveauté;38;Pablo. 1. Max Jacob;Birmant, Julie
690;Livre adulte;38;Allemagne [Texte imprimé] : 2012;Gloaguen, Philippe
691;CD adulte;38;The Hunger games [enregistrement sonore] : songs from district 12 and beyond : [BO du film de Gary Boss];
692;Nouveauté;38;Petite Poucette : le monde a tellement changé que les jeunes doivent tout réinventer : une manière de vivre ensemble, des institutions, une manière d'être et de connaître...;Serres, Michel
693;;38;Les apparences;Flynn, Gillian
694;Livre adulte;37;Théâtre complet [Texte imprimé];Sartre, Jean-Paul
695;Livre adulte;37;La ferme des animaux [Texte imprimé];Orwell, George
696;Livre jeunesse;37;Les comediennes de monsieur Racine [Texte imprimé];Desplat-Duc, Anne-Marie
697;Livre adulte;37;L'art de la joie [Texte imprimé];Sapienza, Goliarda
698;DVD tous publics;37;Les misérables [Images animées];Hossein, Robert
699;DVD tous publics;37;Harry Potter et la chambre des secrets [Images animées];Columbus, Chris
700;Livre jeunesse;37;Mer bleue [Texte imprimé];Kalan, Robert
701;Livre adulte;37;Oeuvres complètes. 2. 1944-1948 [Texte imprimé];Camus, Albert
702;Livre adulte;37;Côte d'Azur [Texte imprimé];Rauzier, Marie-Pascale
703;Livre jeunesse;37;Princesse Inès [Texte imprimé];Bourre, Martine
704;Livre ado;37;Tentation [Texte imprimé];Meyer, Stephenie
705;Livre jeunesse;37;Lettres d'amour de 0 à 10 [Texte imprimé];Morgenstern, Susie
706;Bande dessinée jeunesse;37;La pierre de Jovénia [Texte imprimé];Sobral, Patrick
707;DVD tous publics;37;The Dark Knight [Images animées];Nolan, Christopher
708;Livre adulte;37;Italie du Nord [Texte imprimé] : 2010 : sans la Toscane et l'Ombrie, lacs italiens, Venise et Rome;
709;CD adulte;37;Diachronism [enregistrement sonore];Maalouf, Ibrahim
710;Livre adulte;37;Guide pratique des réseaux sociaux : Twitter, Facebook... des outils pour communiquer [Texte imprimé];Fanelli-Isla, Marc
711;Livre adulte;37;Mourir de dire : la honte;Cyrulnik, Boris
712;Livre adulte;37;Les anonymes;Ellory, Roger Jon
713;Livre adulte;37;Sans âme;Carriger, Gail
714;Livre adulte;37;Crimes : nouvelles;Schirach, Ferdinand Von
715;Livre adulte;37;Iles grecques et Athènes : sans la Crète et les îles Ioniennes : 2011;Gloaguen, Philippe
716;Livre adulte;37;Allemagne : sans Berlin : 2011;Gloaguen, Philippe
717;DVD tous publics;37;Des hommes et des dieux [Images animées];
718;;37;Les privilèges;Dee, Jonathan
719;;37;L'étrange voyage de monsieur Daldry : roman;Lévy, Marc
720;;37;Expédition en Egypte;Watson, Jude
721;Livre adulte;37;Le guide Hachette des vins 2012;
722;DVD >  12 ans;37;Dexter [Images animées];
723;DVD < 13 ans;37;Le château de Cagliostro [Images animées];
724;Bande dessinée adulte;37;Les autres gens. 4;Cadène, Thomas
725;Livre adulte;37;De coeur inconnu : récit;Valandrey, Charlotte
726;Livre jeunesse;37;Caca boudin [Texte imprimé];Blake, Stéphanie
727;DVD tous publics;37;Twilight - Chapitre IV : Révélation [Images animées];
728;Livre adulte;37;La fille automate;Bacigalupi, Paolo
729;CD adulte;37;L'Apogée [enregistrement sonore];
730;DVD tous publics;37;Mission : impossible - Protocole fantôme [Images animées];
731;Livre jeunesse;37;Le passage des lumières. 1. Espoirs;Cuenca, Catherine
732;Livre jeunesse;36;L'odyssée [Texte imprimé];Homère
733;Livre adulte;36;Romans. 2 [Texte imprimé];Austen, Jane
734;Livre adulte;36;Le Bled [Texte imprimé];Bled, Edouard
735;Livre jeunesse;36;35 kilos d'espoir [Texte imprimé];Gavalda, Anna
736;Livre sonore jeunesse;36;La belle histoire de Leuk le lièvre [Enregistrement sonore];Senghor, Léopold Sédar
737;Livre adulte;36;Inconnu à cette adresse [Texte imprimé];Taylor, Kathrine Kressmann
738;Bande dessinée jeunesse;36;Sous les cahiers, la plage [Texte imprimé];Coppée, Thierry
739;Livre ado;36;La déclaration [Texte imprimé] : L'histoire d'Anna;Malley, Gemma
740;Livre adulte;36;Les piliers de la terre. 1. Ellen [Texte imprimé];Follett, Ken
741;DVD tous publics;36;Les deux tours [Images animées];Jackson, Peter
742;DVD tous publics;36;Sur écoute [Images animées] : Intégrale Saison 2;
743;Bande dessinée adulte;36;Celle que je ne suis pas. 1 [Texte imprimé];Vanyda
744;Livre jeunesse;36;Roule galette [Texte imprimé];Caputo, Natha
745;Bande dessinée adulte;36;Maus [Texte imprimé] : un survivant raconte;Spiegelman, Art
746;Livre adulte;36;Londres [Texte imprimé] : le guide;Masters, Tom
747;Livre adulte;36;Oeuvres [Texte imprimé];Diderot, Denis
748;Livre adulte;36;Le tigre blanc [Texte imprimé] : roman;Adiga, Aravind
749;Livre adulte;36;L'attrape-coeurs : roman [Texte imprimé];Salinger, Jerome David
750;Livre adulte;36;L'estime de soi [Texte imprimé] : s'aimer pour mieux vivre avec les autres;André, Christophe
751;Livre adulte;36;Petit traité de manipulation à l'usage des honnêtes gens [Texte imprimé];Joule, Robert-Vincent
752;Revue adulte;36;Beaux-arts magazine [texte imprimé];
753;Livre adulte;36;Les pervers narcissiques : qui sont-ils, comment fonctionnent-ils, comment leur échapper ?;Bouchoux, Jean-Charles
754;Bande dessinée ado;36;Je serai toujours avec toi;Lyfoung, Patricia
755;Livre jeunesse;36;C'est elle qui a commencé;Cazenove, Christophe
756;DVD tous publics;36;West side story [Images animées];Wise, Robert
757;Livre jeunesse;36;Le chevalier au bouclier vert;Weulersse, Odile
