Rang;Type de document;Nombre de recherches;Titre;Auteur
92;Livre adulte;85;L'enfant allemand;Läckberg, Camilla
93;Nouveauté;84;Le siècle;Follett, Ken
94;;84;Veuf;Fournier, Jean-Louis
95;Livre ado;83;Vandales;Muchamore, Robert
96;DVD tous publics;83;Pina [Images animées];
97;Livre adulte;83;Le code Rousseau de la route : édition 2012 : le code Rousseau + 400 questions inédites;
98;CD adulte;83;Born to die [Enregistrement sonore];Del Rey, Lana
99;Nouveauté;83;Les Strauss-Kahn;Bacqué, Raphaëlle
100;Nouveauté;82;Purge;Oksanen, Sofi
101;Livre en gros caractères;82;La couleur des sentiments;Stockett, Kathryn
102;;82;Les Légendaires. 14. L'héritage du mal;Sobral, Patrick
103;Nouveauté;82;Le testament des abeilles;Calestrémé, Natacha
104;DVD tous publics;81;La couleur des sentiments [Images animées];
105;Livre adulte;81;Lointain souvenir de la peau;Banks, Russell
106;Nouveauté;81;Home;Morrison, Toni
107;Livre adulte;81;Certaines n'avaient jamais vu la mer : roman;Otsuka, Julie
108;Livre adulte;80;Kafka sur le rivage [Texte imprimé];Murakami, Haruki
109;Livre jeunesse;80;Journal d'un dégonflé : carnet de bord de Greg Heffley;Kinney, Jeff
110;Nouveauté;80;Le caveau de famille;Mazetti, Katarina
111;CD adulte;79;19 [Enregistrement sonore];Adkins, Adele
112;Bande dessinée adulte;78;Aya de Yopougon. 3 [Texte imprimé];Abouet, Marguerite
113;Livre adulte;78;Artemisia, un duel pour l'immortalité [Texte imprimé];Lapierre, Alexandra
114;Revue adulte;78;L'Express [texte imprimé];
115;Revue adulte;78;Le Nouvel observateur [texte imprimé];
116;Livre adulte;78;Le Cercle littéraire des amateurs d'épluchures de patates [Texte imprimé];Shaffer, Mary Ann
117;Nouveauté;78;Le quai de Ouistreham;Aubenas, Florence
118;Nouveauté;78;Sur la route du papier [Texte imprimé];Orsenna, Erik
119;Livre adulte;77;1984 [Texte imprimé];Orwell, George
120;Livre jeunesse;77;Va-t'en, grand monstre vert ! [Texte imprimé];Emberley, Ed
121;;77;La vague fantôme;Muchamore, Robert
122;;77;L'ordre libertaire : la vie philosophique d'Albert Camus;Onfray, Michel
123;Nouveauté;77;La tristesse du samouraï [Texte imprimé] : roman;Arbol, Victor del
124;DVD >  12 ans;77;Shame [Images animées];
